test1.UTCGregorian         test1.EarthMJ2000Eq.X   test1.EarthMJ2000Eq.Y   test1.EarthMJ2000Eq.Z   
10 Aug 2020 12:00:00.000   137380                  -75679.6                21487.6                 
10 Aug 2020 12:01:00.000   137394                  -75652.8                21492.7                 
10 Aug 2020 12:04:00.595   137435                  -75572                  21508.1                 
10 Aug 2020 12:15:39.633   137592                  -75256.9                21567                   
10 Aug 2020 12:50:50.965   138025                  -74282.7                21738.6                 
10 Aug 2020 13:35:50.965   138487                  -72988.5                21943.8                 
10 Aug 2020 14:20:50.965   138849                  -71640.4                22132.9                 
10 Aug 2020 15:05:50.965   139107                  -70239.4                22305.5                 
10 Aug 2020 15:50:50.965   139262                  -68785.9                22461.4                 
10 Aug 2020 16:35:50.965   139312                  -67280.7                22600.5                 
10 Aug 2020 17:20:50.965   139256                  -65724.2                22722.3                 
10 Aug 2020 18:05:50.965   139093                  -64117.1                22826.5                 
10 Aug 2020 18:50:50.965   138821                  -62459.7                22912.9                 
10 Aug 2020 19:35:50.965   138439                  -60752.5                22981                   
10 Aug 2020 20:20:50.965   137944                  -58995.8                23030.3                 
10 Aug 2020 21:05:50.965   137334                  -57190.1                23060.5                 
10 Aug 2020 21:50:50.965   136607                  -55335.6                23071                   
10 Aug 2020 22:35:50.965   135761                  -53432.6                23061.3                 
10 Aug 2020 23:20:50.965   134793                  -51481.3                23030.7                 
11 Aug 2020 00:05:50.965   133698                  -49482.1                22978.7                 
11 Aug 2020 00:50:50.965   132475                  -47435                  22904.4                 
11 Aug 2020 01:35:50.965   131119                  -45340.3                22807.2                 
11 Aug 2020 02:20:50.965   129626                  -43198.1                22686                   
11 Aug 2020 03:05:50.965   127991                  -41008.7                22540                   
11 Aug 2020 03:50:50.965   126209                  -38772                  22368.1                 
11 Aug 2020 04:35:50.965   124274                  -36488.4                22169.1                 
11 Aug 2020 05:20:50.965   122180                  -34158                  21941.7                 
11 Aug 2020 06:05:50.965   119920                  -31781.1                21684.4                 
11 Aug 2020 06:50:50.965   117485                  -29357.8                21395.4                 
11 Aug 2020 07:35:50.965   114867                  -26888.7                21073                   
11 Aug 2020 08:20:50.965   112054                  -24374.1                20715                   
11 Aug 2020 09:05:50.965   109036                  -21814.7                20318.9                 
11 Aug 2020 09:50:50.965   105798                  -19211.3                19881.8                 
11 Aug 2020 10:35:50.965   102325                  -16565.3                19400.5                 
11 Aug 2020 11:20:50.965   98597.5                 -13878.2                18871.1                 
11 Aug 2020 12:05:50.965   94594.8                 -11152.4                18288.9                 
11 Aug 2020 12:50:50.965   90290.4                 -8391.08                17648.3                 
11 Aug 2020 13:35:50.965   85652.6                 -5598.98                16942.6                 
11 Aug 2020 14:20:50.965   80642.4                 -2782.79                16163.1                 
11 Aug 2020 15:05:50.965   75210.6                 47.54                   15299.1                 
11 Aug 2020 15:45:03.284   70085.6                 2513.35                 14466.4                 
11 Aug 2020 16:20:07.431   65145.3                 4706.31                 13648.2                 
11 Aug 2020 16:51:29.077   60400.3                 6643.8                  12847.9                 
11 Aug 2020 17:19:31.996   55855.8                 8343.61                 12068.2                 
11 Aug 2020 17:44:37.528   51513.4                 9822.91                 11310.9                 
11 Aug 2020 18:07:04.831   47372.5                 11098.1                 10577.1                 
11 Aug 2020 18:27:11.085   43430                   12184.8                 9867.71                 
11 Aug 2020 18:47:11.081   39253.3                 13193.9                 9104.09                 
11 Aug 2020 19:03:06.321   35718.9                 13927.1                 8447.63                 
11 Aug 2020 19:18:57.623   31985.1                 14573.4                 7743.23                 
11 Aug 2020 19:31:38.825   28820.6                 15010.3                 7136.8                  
11 Aug 2020 19:44:16.639   25490.2                 15351                   6488.45                 
11 Aug 2020 19:54:09.879   22740.1                 15532.1                 5944.55                 
11 Aug 2020 20:04:16.900   19778                   15615.6                 5349.24                 
11 Aug 2020 20:12:34.774   17222.5                 15584.9                 4826.9                  
11 Aug 2020 20:20:49.832   14555                   15439.2                 4272.01                 
11 Aug 2020 20:27:10.216   12410.8                 15227.7                 3817.95                 
11 Aug 2020 20:32:44.447   10453.4                 14951.7                 3396.39                 
11 Aug 2020 20:37:42.945   8643.79                 14617.5                 2999.94                 
11 Aug 2020 20:42:39.895   6784.36                 14184.1                 2584.92                 
11 Aug 2020 20:47:10.135   5041.15                 13682.8                 2187.76                 
11 Aug 2020 20:51:16.161   3414.49                 13118.7                 1808.95                 
11 Aug 2020 20:55:01.705   1895.12                 12493                   1446.73                 
11 Aug 2020 20:58:00.497   677.151                 11910.4                 1149.47                 
11 Aug 2020 21:00:58.091   -537.373                11244.3                 845.818                 
11 Aug 2020 21:03:39.581   -1637.74                10553.5                 563.286                 
11 Aug 2020 21:06:06.983   -2630.03                9845.01                 301.223                 
11 Aug 2020 21:08:24.506   -3536.48                9111.56                 54.5049                 
11 Aug 2020 21:10:35.961   -4376.26                8341.83                 -181.731                
11 Aug 2020 21:12:44.844   -5164.58                7520.59                 -411.873                
11 Aug 2020 21:14:54.548   -5912.52                6628.29                 -639.828                
11 Aug 2020 21:17:07.291   -6619.77                5650.16                 -866.787                
11 Aug 2020 21:19:17.323   -7245.37                4634.62                 -1080.3                 
11 Aug 2020 21:20:18.879   -7515.85                4136.57                 -1177.61                
